CODE,WORLD_AMT,RUS_AMT
F01B,6847,89
F01C,12350,187
F01D,120807,388
F01K,26271,178
F01L,28818,67
F01M,22550,53
F01N,85383,224
F01P,26466,37
F02B,79123,432
F02C,73812,519
F02D,101932,113
F02F,20927,53
F02G,8597,69
F02K,23531,458
F02M,98701,244
F02N,21832,53
F02P,14853,25
F03B,27269,190
F03C,3484,10
F03D,68427,420
F03G,19374,120
F04B,82172,421
F04C,50137,155
F04D,106177,587
F04F,7828,118
H01B,111271,257
H02B,34681,38
H03B,10590,105
H03C,1802,30
H03D,4769,35
H03F,46684,191
H03G,17979,17
H03H,41891,175
H03J,2678,11
H03K,103354,419
H03L,21547,58
H03M,69898,250
H04H,24471,64
H05B,201652,356
H05C,464,6
H05F,3873,18
H05G,8518,37
H05H,24256,250
H05K,307320,282
F15B,55027,193
F15C,573,3
F15D,5156,32
F16N,13293,33
F17B,222,1
F17C,33628,181
F17D,13483,324
F21K,46836,113
F21S,115825,184
F22B,20664,242
F22D,3628,37
F22G,2226,18
F23B,4092,58
F23C,13557,120
F23L,10422,36
F23M,5093,13
F23Q,4680,25
F24B,5306,64
F24D,34486,218
F24S,35370,97
F24T,3814,17
F24V,1860,42
F25B,91553,172
F25D,68026,78
F25J,13969,212
F26B,49833,350
F41A,19154,410
F41B,7903,111
F41C,7231,194
F41F,2656,125
F41H,18929,397
F41G,12491,327
F41J,4169,59
F41H,18929,397
F42B,22282,804
F42C,4450,118
F42D,6849,178